average_packet_size,packet_length_mean,subflow_fwd_bytes,total_fwd_packet_length,fwd_header_length, fwd_packet_length_max,packet_length_std,packet_length_variance,max_packet_length,init_win_bytes_fwd,flow_iat_max,fwd_iat_max,flow_duration,fwd_segment_size,fwd_packet_length_mean,flow_bytes_per_sec,fwd_iat_total,fwd_iat_mean,fwd_packets_per_second,avg_bwd_segment_size,Label
674.1351351,674.1351351,48644,48644,93784,1399,607.1837142,368672.0628,1399,32120,2.113251209,2.113251209,8.12742877,666.3561644,666.3561644,6137.980585,8.12742877,0.112880955,8.981930456,1242,BENIGN
675.4266667,675.4266667,49415,49415,95278,1399,603.2245612,363879.8713,1399,32120,2.113251209,2.113251209,8.127860546,667.7702703,667.7702703,6232.513429,8.127860546,0.111340555,9.104486916,1242,BENIGN
668.4078947,668.4078947,49557,49557,95514,1399,602.3177859,362786.7152,1399,32120,2.113251209,2.113251209,8.246152878,660.76,660.76,6160.327216,8.246152878,0.111434498,9.095150322,1242,BENIGN
556.8414634,556.8414634,33382,45661,87386,2866,657.7581005,432645.7188,2866,65160,2.157356501,2.157356501,8.184350967,556.8414634,556.8414634,5579.06182,8.184350967,0.10104137,10.01912068,0,BENIGN
550.9518072,550.9518072,33450,45729,87474,2866,655.9554404,430277.5398,2866,65160,2.157356501,2.157356501,8.184351683,550.9518072,550.9518072,5587.36987,8.184351683,0.099809167,10.14130419,0,BENIGN
545.1785714,545.1785714,6545,45795,87558,2866,654.1571669,427921.5991,2866,65160,2.157356501,2.157356501,8.184351683,545.1785714,545.1785714,5595.43404,8.184351683,0.098606647,10.26348858,0,BENIGN
539.5411765,539.5411765,6611,45861,87642,2866,652.3471208,425556.766,2866,65160,2.157356501,2.157356501,8.184351683,539.5411765,539.5411765,5603.49821,8.184351683,0.097432758,10.38567296,0,BENIGN
534.0697674,534.0697674,33519,45930,87732,2866,650.5021279,423153.0184,2866,65160,2.157356501,2.157356501,8.184351683,534.0697674,534.0697674,5611.928932,8.184351683,0.09628649,10.50785735,0,BENIGN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
1242,1242,1242,1242,2436,1242,0,0,1242,0,0,0,0,1242,1242,0,0,0,0,0,BENIGN
1242,1242,2484,2484,4872,1242,0,0,1242,0,0,0,0,1242,1242,0,0,0,0,0,BENIGN
1242,1242,3726,3726,7308,1242,0,0,1242,0,0.000109434,0.000109434,0.000109434,1242,1242,34047879.53,0.000109434,0.0000547,27413.75163,0,BENIGN
